[Measurement conditions],,,,,,,,,,,,,,,,,,,,,,,
Sample identification,,,,,,,,,,,,,,,,,,,,,,,
Comment - 1,"Configuration=MPSS New Configuration, Owner=User-1, Creation date=10/27/2010 9:00:11 AM",,,,,,,,,,,,,,,,,,,,,,
Comment - 2,Goniometer=PW3050/60 (Theta/Theta); Minimum step size 2Theta:0.001; Minimum step size Omega:0.001,,,,,,,,,,,,,,,,,,,,,,
Comment - 3,Sample stage=Multi purpose sample stage; Minimum step size Phi:2.5,,,,,,,,,,,,,,,,,,,,,,
Comment - 4,Diffractometer system=XPERT-PRO,,,,,,,,,,,,,,,,,,,,,,
Comment - 5,"Measurement program=C:\XRD Data\mcaplan\311 lab.xrdmp, Identifier={45589E5F-173F-4548-9E9A-391A8F8D5901}",,,,,,,,,,,,,,,,,,,,,,
Anode material,Cu,,,,,,,,,,,,,,lambda,2theta,theta,rad,,d,khl2,,a
K-Alpha1 wavelength,1.540598,,,,,,,,,,,,,,1.39225,28.4962,14.2481,0.248676257,2.828383479,7.999753102,3.088,24.70323758,4.970235163
K-Alpha2 wavelength,1.544426,,,,,,,,,,,,,,,47.3549,23.67745,0.413249461,1.733433514,3.004791747,8.222,24.70539774,4.970452469
Ratio K-Alpha2/K-Alpha1,0.5,,,,,,,,,,,,,,,56.1784,28.0892,0.490249024,1.47845707,2.185835307,11.302,24.70431064,4.970343111
Divergence slit,Fixed,0.19mm,,,,,,,,,,,,,,69.1631,34.58155,0.603561908,1.226481993,1.50425808,16.427,24.71044749,4.970960419
Monochromator used,NO,,,,,,,,,,,,,,,88.0468,44.0234,0.768353278,1.001687748,1.003378345,24.623,24.70618498,4.97053166
Generator voltage,45,,,,,,,,,,,,,,,,,,,,,,
Tube current,40,,,,,,,,,,,,,,,,,,,,,,
File date and time,11/6/2018 9:22,,,,,,,,,,,,,,,,,,,,,,
Unit cell,,,,,,,,,,,,,,,,,,,,,,,
h k l, 0 0 0,,,,,,,,,,,,,,,,,,,,,,
Scan axis,Gonio,,,,,,,,,,,,,,,,,,,,,,
Scan range,10.001,149.9996559,,,,,,,,,,,,,,,,,,,,,
Scan step size,0.0083556,,,,,,,,,,,,,,,,,,,,,,
No. of points,16755,,,,,,,,,,,,,,,,,,,,,,
Scan type,CONTINUOUS,,,,,,,,,,,,,,,,,,,,,,
Phi,0,,,,,,,,,,,,,,,,,,,,,,
Time per step,1.905,,,,,,,,,,,,,,,,,,,,,,
[Scan points],,,,,,,,,,,,,,,,,,,,,,,
Angle,Intensity,,,,,,,,,,,,,,,,,,,,,,
10.00517782,17,,,,,,,,,,,,,,,,,,,,,,
10.01353345,16,,,,,,,,,,,,,,,,,,,,,,
10.02188909,13,,,,,,,,,,,,,,,,,,,,,,
10.03024472,4,,,,,,,,,,,,,,,,,,,,,,
10.03860036,9,,,,,,,,,,,,,,,,,,,,,,
10.04695599,14,,,,,,,,,,,,,,,,,,,,,,
10.05531163,12,,,,,,,,,,,,,,,,,,,,,,
10.06366726,9,,,,,,,,,,,,,,,,,,,,,,
