[Measurement conditions]
Sample identification,
Comment - 1,"Configuration=MPSS New Configuration, Owner=User-1, Creation date=10/27/2010 9:00:11 AM"
Comment - 2,"Goniometer=PW3050/60 (Theta/Theta); Minimum step size 2Theta:0.001; Minimum step size Omega:0.001"
Comment - 3,"Sample stage=Multi purpose sample stage; Minimum step size Phi:2.5"
Comment - 4,"Diffractometer system=XPERT-PRO"
Comment - 5,"Measurement program=C:\XRD Data\mcaplan\311 lab.xrdmp, Identifier={45589E5F-173F-4548-9E9A-391A8F8D5901}"
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.19mm
Monochromator used,NO
Generator voltage, 45
Tube current, 40
File date and time,06/Nov/2018 09:37
Unit cell,
h k l, 0 0 0
Scan axis,Gonio
Scan range,10.001000003,149.999655857
Scan step size,0.0083556
No. of points, 16755
Scan type,CONTINUOUS
Phi,0.0
Time per step,1.905
[Scan points]
Angle,Intensity
10.005177820,9.0
10.013533454,12.0
10.021889089,10.0
10.030244723,12.0
10.038600358,10.0
10.046955992,10.0
10.055311627,14.0
10.063667261,8.0
10.072022896,10.0
10.080378530,5.0
10.088734165,16.0
10.097089799,6.0
10.105445434,9.0
10.113801068,14.0
10.122156703,6.0
10.130512337,10.0
10.138867972,9.0
10.147223606,8.0
10.155579241,10.0
10.163934875,8.0
10.172290510,14.0
10.180646144,9.0
10.189001779,12.0
10.197357413,10.0
10.205713048,12.0
10.214068682,8.0
10.222424317,6.0
10.230779951,4.0
10.239135586,8.0
10.247491220,10.0
10.255846855,6.0
10.264202489,13.0
10.272558124,6.0
10.280913758,13.0
10.289269393,10.0
10.297625027,5.0
10.305980662,6.0
10.314336296,4.0
10.322691931,8.0
10.331047565,8.0
10.339403200,8.0
10.347758834,9.0
10.356114469,16.0
10.364470103,12.0
10.372825737,14.0
10.381181372,12.0
10.389537006,14.0
10.397892641,8.0
10.406248275,13.0
10.414603910,9.0
10.422959544,16.0
10.431315179,6.0
10.439670813,8.0
10.448026448,12.0
10.456382082,12.0
10.464737717,12.0
10.473093351,13.0
10.481448986,8.0
10.489804620,6.0
10.498160255,8.0
10.506515889,8.0
10.514871524,10.0
10.523227158,9.0
10.531582793,8.0
10.539938427,6.0
10.548294062,8.0
10.556649696,16.0
10.565005331,12.0
10.573360965,9.0
10.581716600,12.0
10.590072234,5.0
10.598427869,13.0
10.606783503,4.0
10.615139138,16.0
10.623494772,6.0
10.631850407,8.0
10.640206041,5.0
10.648561676,8.0
10.656917310,5.0
10.665272945,10.0
10.673628579,9.0
10.681984214,9.0
10.690339848,9.0
10.698695483,9.0
10.707051117,12.0
10.715406752,9.0
10.723762386,13.0
10.732118020,4.0
10.740473655,6.0
10.748829289,13.0
10.757184924,5.0
10.765540558,6.0
10.773896193,9.0
10.782251827,20.0
10.790607462,9.0
10.798963096,6.0
10.807318731,6.0
10.815674365,12.0
10.824030000,12.0
10.832385634,6.0
10.840741269,5.0
10.849096903,8.0
10.857452538,5.0
10.865808172,9.0
10.874163807,10.0
10.882519441,5.0
10.890875076,14.0
10.899230710,14.0
10.907586345,6.0
10.915941979,8.0
10.924297614,9.0
10.932653248,14.0
10.941008883,8.0
10.949364517,4.0
10.957720152,9.0
10.966075786,12.0
10.974431421,6.0
10.982787055,0.0
10.991142690,12.0
10.999498324,12.0
11.007853959,17.0
11.016209593,2.0
11.024565228,9.0
11.032920862,6.0
11.041276497,14.0
11.049632131,6.0
11.057987766,6.0
11.066343400,9.0
11.074699035,12.0
11.083054669,9.0
11.091410304,6.0
11.099765938,10.0
11.108121572,4.0
11.116477207,12.0
11.124832841,10.0
11.133188476,13.0
11.141544110,8.0
11.149899745,9.0
11.158255379,20.0
11.166611014,6.0
11.174966648,9.0
