Angle,Intensity
10.00517782,8
10.013533454,13
10.021889089,6
10.030244723,12
10.038600358,9
10.046955992,13
10.055311627,5
10.063667261,8
10.072022896,20
10.08037853,6
10.088734165,17
10.097089799,8
10.105445434,13
10.113801068,6
10.122156703,8
10.130512337,6
10.138867972,9
10.147223606,13
10.155579241,9
10.163934875,10
10.17229051,12
10.180646144,17
10.189001779,6
10.197357413,8
10.205713048,14
10.214068682,13
10.222424317,13
10.230779951,4
10.239135586,6
10.24749122,8
10.255846855,9
10.264202489,4
10.272558124,6
10.280913758,12
10.289269393,18
10.297625027,8
10.305980662,13
10.314336296,9
10.322691931,10
10.331047565,14
10.3394032,12
10.347758834,10
10.356114469,8
10.364470103,8
10.372825737,5
10.381181372,4
10.389537006,5
10.397892641,8
10.406248275,18
10.41460391,5
10.422959544,14
10.431315179,12
10.439670813,8
10.448026448,12
10.456382082,8
10.464737717,5
10.473093351,10
10.481448986,18
10.48980462,16
10.498160255,6
10.506515889,13
10.514871524,4
10.523227158,12
10.531582793,10
10.539938427,10
10.548294062,4
10.556649696,6
10.565005331,10
10.573360965,9
10.5817166,14
10.590072234,5
10.598427869,10
10.606783503,5
10.615139138,12
10.623494772,10
10.631850407,12
10.640206041,2
10.648561676,8
10.65691731,8
10.665272945,10
10.673628579,4
10.681984214,6
10.690339848,9
10.698695483,5
10.707051117,6
10.715406752,16
10.723762386,5
10.73211802,8
10.740473655,12
10.748829289,21
10.757184924,10
10.765540558,9
10.773896193,6
10.782251827,9
10.790607462,9
10.798963096,10
10.807318731,8
10.815674365,6
10.82403,12
10.832385634,16
10.840741269,5
10.849096903,4
10.857452538,13
10.865808172,8
10.874163807,5
10.882519441,16
10.890875076,14
10.89923071,10
10.907586345,14
10.915941979,6
10.924297614,4
10.932653248,20
10.941008883,14
10.949364517,6
10.957720152,12
10.966075786,8
10.974431421,17
10.982787055,8
10.99114269,9
10.999498324,9
11.007853959,8
11.016209593,16
11.024565228,9
11.032920862,16
11.041276497,8
11.049632131,16
11.057987766,10
11.0663434,12
11.074699035,16
11.083054669,8
11.091410304,4
11.099765938,4
11.108121572,6
11.116477207,12
11.124832841,2
11.133188476,14
11.14154411,6
11.149899745,9
11.158255379,13
11.166611014,9
11.174966648,9
11.183322283,12
11.191677917,10
11.200033552,4
11.208389186,10
11.216744821,14
11.225100455,4
11.23345609,8
11.241811724,13
11.250167359,12
11.258522993,10
11.266878628,13
11.275234262,8
11.283589897,5
11.291945531,12
11.300301166,8
11.3086568,13
11.317012435,9
11.325368069,9
11.333723704,9
11.342079338,17
11.350434973,6
11.358790607,10
11.367146242,8
11.375501876,8
11.383857511,14
11.392213145,8
11.40056878,5
11.408924414,16
11.417280049,6
11.425635683,8
11.433991318,9
11.442346952,10
11.450702587,8
11.459058221,13
11.467413855,6
11.47576949,6
11.484125124,14
11.492480759,10
11.500836393,9
11.509192028,10
11.517547662,12
11.525903297,10
11.534258931,2
11.542614566,4
11.5509702,6
11.559325835,12
11.567681469,8
11.576037104,9
11.584392738,12
11.592748373,12
11.601104007,10
11.609459642,10
11.617815276,6
11.626170911,8
11.634526545,17
11.64288218,9
11.651237814,5
11.659593449,5
11.667949083,14
11.676304718,4
11.684660352,10
11.693015987,2
11.701371621,8
11.709727256,12
11.71808289,4
11.726438525,12
11.734794159,12
11.743149794,10
11.751505428,5
11.759861063,8
11.768216697,5
11.776572332,1
11.784927966,9
11.793283601,8
11.801639235,12
11.80999487,12
11.818350504,8
11.826706138,6
11.835061773,4
11.843417407,9
11.851773042,6
11.860128676,12
11.868484311,8
11.876839945,9
11.88519558,10
11.893551214,8
11.901906849,9
11.910262483,12
11.918618118,12
11.926973752,14
11.935329387,2
11.943685021,5
11.952040656,10
11.96039629,8
11.968751925,2
11.977107559,13
11.985463194,4
11.993818828,6
12.002174463,6
12.010530097,12
12.018885732,10
12.027241366,8
12.035597001,5
12.043952635,10
12.05230827,4
12.060663904,6
12.069019539,8
12.077375173,16
12.085730808,17
12.094086442,6
12.102442077,10
12.110797711,4
12.119153346,6
12.12750898,6
12.135864615,6
12.144220249,9
12.152575884,14
12.160931518,14
12.169287153,8
12.177642787,8
12.185998421,6
12.194354056,5
12.20270969,9
12.211065325,12
12.219420959,5
12.227776594,12
12.236132228,8
12.244487863,8
12.252843497,13
12.261199132,16
12.269554766,12
12.277910401,9
12.286266035,10
12.29462167,9
12.302977304,6
12.311332939,6
12.319688573,10
12.328044208,10
12.336399842,10
12.344755477,6
12.353111111,9
12.361466746,6
12.36982238,4
12.378178015,17
12.386533649,8
12.394889284,4
12.403244918,6
12.411600553,5
12.419956187,5
12.428311822,8
12.436667456,6
12.445023091,10
12.453378725,5
12.46173436,5
12.470089994,9
12.478445629,12
12.486801263,8
12.495156898,12
12.503512532,6
12.511868167,2
12.520223801,12
12.528579436,8
12.53693507,2
12.545290704,2
12.553646339,16
12.562001973,10
12.570357608,8
12.578713242,6
12.587068877,6
12.595424511,8
12.603780146,1
12.61213578,6
12.620491415,4
12.628847049,5
12.637202684,5
12.645558318,8
12.653913953,13
12.662269587,9
12.670625222,13
12.678980856,10
12.687336491,5
12.695692125,13
12.70404776,8
12.712403394,12
12.720759029,6
12.729114663,5
12.737470298,9
12.745825932,12
12.754181567,6
12.762537201,6
12.770892836,2
12.77924847,9
12.787604105,8
12.795959739,16
12.804315374,8
12.812671008,5
12.821026643,5
12.829382277,6
12.837737912,13
12.846093546,10
12.854449181,14
12.862804815,9
12.87116045,13
12.879516084,5
12.887871719,12
12.896227353,8
12.904582988,4
12.912938622,8
12.921294256,9
12.929649891,9
12.938005525,5
12.94636116,4
12.954716794,5
12.963072429,8
12.971428063,8
12.979783698,10
12.988139332,6
12.996494967,1
13.004850601,8
13.013206236,6
13.02156187,8
13.029917505,9
13.038273139,9
13.046628774,13
13.054984408,10
13.063340043,5
13.071695677,8
13.080051312,9
13.088406946,5
13.096762581,9
13.105118215,5
13.11347385,9
13.121829484,13
13.130185119,9
13.138540753,4
13.146896388,12
13.155252022,9
13.163607657,8
13.171963291,8
13.180318926,5
13.18867456,8
13.197030195,12
13.205385829,5
13.213741464,8
13.222097098,5
13.230452733,4
13.238808367,12
13.247164002,12
13.255519636,10
13.263875271,13
13.272230905,9
13.280586539,4
13.288942174,9
13.297297808,5
13.305653443,2
13.314009077,5
13.322364712,9
13.330720346,6
13.339075981,12
13.347431615,14
13.35578725,12
13.364142884,5
13.372498519,8
13.380854153,8
13.389209788,10
13.397565422,14
13.405921057,8
13.414276691,1
13.422632326,12
13.43098796,5
13.439343595,6
13.447699229,14
13.456054864,8
13.464410498,9
13.472766133,12
13.481121767,5
13.489477402,12
13.497833036,8
13.506188671,8
13.514544305,13
13.52289994,5
13.531255574,9
13.539611209,4
13.547966843,9
13.556322478,8
13.564678112,6
13.573033747,8
13.581389381,12
13.589745016,4
13.59810065,12
13.606456285,6
13.614811919,9
13.623167554,10
13.631523188,6
13.639878822,6
13.648234457,6
13.656590091,5
13.664945726,12
13.67330136,5
13.681656995,8
13.690012629,9
13.698368264,8
13.706723898,4
13.715079533,10
13.723435167,10
13.731790802,8
13.740146436,4
13.748502071,8
13.756857705,13
13.76521334,9
13.773568974,9
13.781924609,10
13.790280243,9
13.798635878,8
13.806991512,5
13.815347147,10
13.823702781,1
13.832058416,2
13.84041405,12
13.848769685,9
13.857125319,9
13.865480954,12
13.873836588,5
13.882192223,2
13.890547857,10
13.898903492,6
13.907259126,6
13.915614761,2
13.923970395,4
13.93232603,5
13.940681664,6
13.949037299,5
13.957392933,9
13.965748568,1
13.974104202,6
13.982459837,6
13.990815471,8
13.999171105,5
14.00752674,5
14.015882374,5
14.024238009,9
14.032593643,8
14.040949278,12
14.049304912,9
14.057660547,5
14.066016181,8
14.074371816,6
14.08272745,4
14.091083085,6
14.099438719,5
14.107794354,10
14.116149988,5
14.124505623,4
14.132861257,4
14.141216892,9
14.149572526,5
14.157928161,6
14.166283795,5
14.17463943,12
14.182995064,10
14.191350699,6
14.199706333,5
14.208061968,10
14.216417602,2
14.224773237,8
14.233128871,8
14.241484506,4
14.24984014,5
14.258195775,9
14.266551409,4
14.274907044,16
14.283262678,6
14.291618313,4
14.299973947,4
14.308329582,6
14.316685216,5
14.325040851,10
14.333396485,9
14.34175212,9
14.350107754,5
14.358463388,4
14.366819023,9
14.375174657,5
14.383530292,4
14.391885926,5
14.400241561,8
14.408597195,6
14.41695283,5
14.425308464,6
14.433664099,9
14.442019733,2
14.450375368,8
14.458731002,10
14.467086637,8
14.475442271,14
14.483797906,6
14.49215354,5
14.500509175,9
14.508864809,8
14.517220444,14
14.525576078,9
14.533931713,10
14.542287347,12
14.550642982,5
14.558998616,10
14.567354251,6
14.575709885,5
14.58406552,5
14.592421154,5
14.600776789,6
14.609132423,6
14.617488058,12
14.625843692,6
14.634199327,5
14.642554961,4
14.650910596,4
14.65926623,6
14.667621865,5
14.675977499,5
14.684333134,8
14.692688768,4
14.701044403,6
14.709400037,18
14.717755672,10
14.726111306,1
14.73446694,1
14.742822575,5
14.751178209,6
14.759533844,1
14.767889478,2
14.776245113,6
14.784600747,6
14.792956382,8
14.801312016,12
14.809667651,5
14.818023285,10
14.82637892,8
14.834734554,1
14.843090189,8
14.851445823,5
14.859801458,5
14.868157092,4
14.876512727,6
14.884868361,8
14.893223996,4
14.90157963,8
14.909935265,5
14.918290899,6
14.926646534,8
14.935002168,5
14.943357803,12
14.951713437,4
14.960069072,6
14.968424706,5
14.976780341,9
14.985135975,5
14.99349161,4
15.001847244,4
15.010202879,4
15.018558513,5
15.026914148,8
15.035269782,5
15.043625417,6
15.051981051,5
15.060336686,4
15.06869232,9
15.077047955,9
15.085403589,6
15.093759223,9
15.102114858,9
15.110470492,9
15.118826127,4
15.127181761,8
15.135537396,5
15.14389303,5
15.152248665,8
15.160604299,2
15.168959934,12
15.177315568,10
15.185671203,6
15.194026837,6
15.202382472,2
15.210738106,2
15.219093741,6
15.227449375,8
15.23580501,13
15.244160644,4
15.252516279,10
15.260871913,6
15.269227548,4
15.277583182,2
15.285938817,12
15.294294451,14
15.302650086,6
15.31100572,1
15.319361355,5
15.327716989,5
15.336072624,9
15.344428258,17
15.352783893,5
15.361139527,1
15.369495162,8
15.377850796,5
15.386206431,9
15.394562065,1
15.4029177,10
15.411273334,5
15.419628969,8
15.427984603,4
15.436340238,8
15.444695872,5
15.453051506,9
15.461407141,9
15.469762775,4
15.47811841,9
15.486474044,12
15.494829679,8
15.503185313,6
15.511540948,1
15.519896582,12
15.528252217,6
15.536607851,5
15.544963486,2
15.55331912,9
15.561674755,6
15.570030389,9
15.578386024,6
15.586741658,8
15.595097293,6
15.603452927,9
15.611808562,9
15.620164196,9
15.628519831,6
15.636875465,12
15.6452311,12
15.653586734,6
15.661942369,4
15.670298003,6
15.678653638,6
15.687009272,6
15.695364907,5
15.703720541,4
15.712076176,8
15.72043181,4
15.728787445,5
15.737143079,10
15.745498714,12
15.753854348,4
15.762209983,6
15.770565617,5
15.778921252,5
15.787276886,5
15.795632521,8
15.803988155,1
15.812343789,8
15.820699424,9
15.829055058,2
15.837410693,9
15.845766327,4
15.854121962,9
15.862477596,6
15.870833231,2
15.879188865,8
15.8875445,6
15.895900134,5
15.904255769,9
15.912611403,6
15.920967038,4
15.929322672,8
15.937678307,12
15.946033941,6
15.954389576,5
15.96274521,6
15.971100845,5
15.979456479,5
15.987812114,6
15.996167748,2
16.004523383,5
16.012879017,5
16.021234652,5
16.029590286,8
16.037945921,4
16.046301555,9
16.05465719,9
16.063012824,4
16.071368459,9
16.079724093,6
16.088079728,10
16.096435362,10
16.104790997,8
16.113146631,1
16.121502266,8
16.1298579,8
16.138213535,2
16.146569169,2
16.154924804,9
16.163280438,5
16.171636072,4
16.179991707,9
16.188347341,8
16.196702976,6
16.20505861,4
16.213414245,6
16.221769879,10
16.230125514,6
16.238481148,4
16.246836783,2
16.255192417,5
16.263548052,8
16.271903686,8
16.280259321,6
16.288614955,1
16.29697059,6
16.305326224,8
16.313681859,9
16.322037493,4
16.330393128,5
16.338748762,9
16.347104397,1
16.355460031,8
16.363815666,6
16.3721713,2
16.380526935,4
16.388882569,6
16.397238204,4
16.405593838,6
16.413949473,10
16.422305107,8
16.430660742,13
16.439016376,6
16.447372011,1
16.455727645,8
16.46408328,5
16.472438914,12
16.480794549,5
16.489150183,9
16.497505818,5
16.505861452,10
16.514217087,2
16.522572721,5
16.530928356,4
16.53928399,2
16.547639624,12
16.555995259,8
16.564350893,5
16.572706528,2
16.581062162,5
16.589417797,5
16.597773431,8
16.606129066,4
16.6144847,4
16.622840335,9
16.631195969,8
16.639551604,8
16.647907238,4
16.656262873,6
16.664618507,13
16.672974142,8
16.681329776,2
16.689685411,5
16.698041045,0
16.70639668,8
16.714752314,9
16.723107949,1
16.731463583,9
16.739819218,6
16.748174852,9
16.756530487,6
16.764886121,4
16.773241756,10
16.78159739,8
16.789953025,13
16.798308659,4
16.806664294,5
16.815019928,2
16.823375563,12
16.831731197,2
16.840086832,4
16.848442466,4
16.856798101,8
16.865153735,5
16.87350937,9
16.881865004,8
16.890220639,6
16.898576273,10
16.906931907,4
16.915287542,6
16.923643176,5
16.931998811,4
16.940354445,6
16.94871008,5
16.957065714,5
16.965421349,5
16.973776983,4
16.982132618,9
16.990488252,2
16.998843887,6
17.007199521,13
17.015555156,5
17.02391079,5
17.032266425,2
17.040622059,5
17.048977694,5
17.057333328,9
17.065688963,10
17.074044597,8
17.082400232,8
17.090755866,8
17.099111501,4
17.107467135,6
17.11582277,5
17.124178404,5
17.132534039,6
17.140889673,6
17.149245308,2
17.157600942,6
17.165956577,8
17.174312211,1
17.182667846,6
17.19102348,10
17.199379115,5
17.207734749,8
17.216090384,5
17.224446018,10
17.232801653,6
17.241157287,2
17.249512922,6
17.257868556,12
17.26622419,6
17.274579825,10
17.282935459,5
