Angle,Intensity
10.00517782,12
10.013533454,9
10.021889089,8
10.030244723,6
10.038600358,10
10.046955992,8
10.055311627,13
10.063667261,6
10.072022896,4
10.08037853,2
10.088734165,9
10.097089799,9
10.105445434,13
10.113801068,10
10.122156703,8
10.130512337,9
10.138867972,10
10.147223606,6
10.155579241,6
10.163934875,14
10.17229051,17
10.180646144,9
10.189001779,8
10.197357413,12
10.205713048,9
10.214068682,12
10.222424317,4
10.230779951,8
10.239135586,16
10.24749122,13
10.255846855,10
10.264202489,12
10.272558124,6
10.280913758,8
10.289269393,12
10.297625027,9
10.305980662,9
10.314336296,13
10.322691931,16
10.331047565,14
10.3394032,10
10.347758834,1
10.356114469,10
10.364470103,10
10.372825737,10
10.381181372,5
10.389537006,12
10.397892641,8
10.406248275,20
10.41460391,5
10.422959544,17
10.431315179,9
10.439670813,13
10.448026448,6
10.456382082,9
10.464737717,12
10.473093351,9
10.481448986,5
10.48980462,5
10.498160255,4
10.506515889,12
10.514871524,8
10.523227158,6
10.531582793,10
10.539938427,8
10.548294062,8
10.556649696,10
10.565005331,8
10.573360965,5
10.5817166,16
10.590072234,8
10.598427869,5
10.606783503,12
10.615139138,8
10.623494772,13
10.631850407,10
10.640206041,10
10.648561676,9
10.65691731,14
10.665272945,5
10.673628579,10
10.681984214,9
10.690339848,4
10.698695483,16
10.707051117,13
10.715406752,10
10.723762386,10
10.73211802,8
10.740473655,10
10.748829289,18
10.757184924,14
10.765540558,2
10.773896193,10
10.782251827,20
10.790607462,4
10.798963096,10
10.807318731,13
10.815674365,8
10.82403,8
10.832385634,6
10.840741269,10
10.849096903,5
10.857452538,13
10.865808172,6
10.874163807,9
10.882519441,14
10.890875076,10
10.89923071,9
10.907586345,9
10.915941979,20
10.924297614,18
10.932653248,5
10.941008883,10
10.949364517,2
10.957720152,6
10.966075786,10
10.974431421,2
10.982787055,4
10.99114269,6
10.999498324,9
11.007853959,9
11.016209593,13
11.024565228,9
11.032920862,8
11.041276497,8
11.049632131,5
11.057987766,6
11.0663434,10
11.074699035,13
11.083054669,10
11.091410304,14
11.099765938,8
11.108121572,10
11.116477207,10
11.124832841,6
11.133188476,4
11.14154411,12
11.149899745,10
