Angle,Intensity
20.00417782,2
20.012533454,4
20.020889089,4
20.029244723,5
20.037600358,6
20.045955992,5
20.054311627,5
20.062667261,8
20.071022896,1
20.07937853,9
20.087734165,2
20.096089799,2
20.104445434,6
20.112801068,2
20.121156703,10
20.129512337,5
20.137867972,10
20.146223606,6
20.154579241,5
20.162934875,4
20.17129051,8
20.179646144,5
20.188001779,2
20.196357413,5
20.204713048,2
20.213068682,6
20.221424317,1
20.229779951,8
20.238135586,10
20.24649122,6
20.254846855,0
20.263202489,8
20.271558124,9
20.279913758,5
20.288269393,6
20.296625027,4
20.304980662,8
20.313336296,9
20.321691931,6
20.330047565,8
20.3384032,6
20.346758834,14
20.355114469,6
20.363470103,2
20.371825737,2
20.380181372,2
20.388537006,1
20.396892641,6
20.405248275,8
20.41360391,8
20.421959544,1
20.430315179,4
20.438670813,6
20.447026448,4
20.455382082,6
20.463737717,2
20.472093351,4
20.480448986,8
20.48880462,5
20.497160255,8
20.505515889,4
20.513871524,14
20.522227158,6
20.530582793,8
20.538938427,4
20.547294062,5
20.555649696,6
20.564005331,8
20.572360965,5
20.5807166,5
20.589072234,6
20.597427869,5
20.605783503,4
20.614139138,8
20.622494772,5
20.630850407,4
20.639206041,5
20.647561676,5
20.65591731,8
20.664272945,13
20.672628579,6
20.680984214,6
20.689339848,9
20.697695483,6
20.706051117,5
20.714406752,8
20.722762386,6
20.73111802,5
20.739473655,6
20.747829289,2
20.756184924,9
20.764540558,8
20.772896193,8
20.781251827,5
20.789607462,4
20.797963096,0
20.806318731,5
20.814674365,9
20.82303,0
20.831385634,13
20.839741269,6
20.848096903,5
20.856452538,4
20.864808172,8
20.873163807,6
20.881519441,2
20.889875076,10
20.89823071,6
20.906586345,1
20.914941979,5
20.923297614,2
20.931653248,8
20.940008883,4
20.948364517,4
20.956720152,8
20.965075786,2
20.973431421,4
20.981787055,6
20.99014269,2
20.998498324,9
21.006853959,4
21.015209593,6
21.023565228,10
21.031920862,4
21.040276497,0
21.048632131,8
