Angle,Intensity
20.00417782,0
20.012533454,2
20.020889089,4
20.029244723,1
20.037600358,1
20.045955992,1
20.054311627,0
20.062667261,5
20.071022896,0
20.07937853,2
20.087734165,1
20.096089799,1
20.104445434,0
20.112801068,0
20.121156703,1
20.129512337,1
20.137867972,0
20.146223606,1
20.154579241,0
20.162934875,0
20.17129051,0
20.179646144,0
20.188001779,1
20.196357413,0
20.204713048,4
20.213068682,5
20.221424317,2
20.229779951,2
20.238135586,1
20.24649122,2
20.254846855,0
20.263202489,1
20.271558124,1
20.279913758,2
20.288269393,1
20.296625027,1
20.304980662,0
20.313336296,1
20.321691931,5
20.330047565,1
20.3384032,2
20.346758834,2
20.355114469,1
20.363470103,5
20.371825737,1
20.380181372,1
20.388537006,1
20.396892641,2
20.405248275,2
20.41360391,0
20.421959544,1
20.430315179,1
20.438670813,1
20.447026448,0
20.455382082,0
20.463737717,1
20.472093351,1
20.480448986,2
20.48880462,2
20.497160255,0
20.505515889,0
20.513871524,0
20.522227158,1
20.530582793,0
20.538938427,0
20.547294062,1
20.555649696,4
20.564005331,1
20.572360965,1
20.5807166,1
20.589072234,1
20.597427869,1
20.605783503,1
20.614139138,1
20.622494772,0
20.630850407,2
20.639206041,5
20.647561676,1
20.65591731,1
20.664272945,0
20.672628579,2
20.680984214,2
20.689339848,2
20.697695483,1
20.706051117,1
20.714406752,1
20.722762386,0
20.73111802,4
20.739473655,4
20.747829289,1
20.756184924,4
20.764540558,4
20.772896193,1
20.781251827,0
20.789607462,1
20.797963096,0
20.806318731,0
20.814674365,1
20.82303,1
20.831385634,2
20.839741269,0
20.848096903,2
20.856452538,1
20.864808172,1
20.873163807,1
20.881519441,2
20.889875076,1
20.89823071,1
20.906586345,2
20.914941979,1
20.923297614,1
20.931653248,1
20.940008883,2
20.948364517,2
20.956720152,1
20.965075786,0
20.973431421,4
20.981787055,1
20.99014269,2
20.998498324,1
21.006853959,2
21.015209593,1
21.023565228,1
21.031920862,0
21.040276497,0
21.048632131,0
21.056987766,0
21.0653434,0
21.073699035,1
21.082054669,1
21.090410304,1
21.098765938,0
21.107121572,1
21.115477207,1
21.123832841,1
21.132188476,2
21.14054411,4
21.148899745,1
21.157255379,1
21.165611014,1
21.173966648,0
21.182322283,2
21.190677917,1
21.199033552,1
21.207389186,0
21.215744821,0
21.224100455,1
21.23245609,2
21.240811724,1
21.249167359,0
21.257522993,1
21.265878628,0
21.274234262,1
21.282589897,2
21.290945531,1
21.299301166,0
21.3076568,2
21.316012435,1
21.324368069,0
21.332723704,1
21.341079338,1
21.349434973,4
21.357790607,0
21.366146242,2
21.374501876,2
21.382857511,0
21.391213145,1
21.39956878,0
21.407924414,1
21.416280049,1
21.424635683,2
21.432991318,2
21.441346952,5
21.449702587,1
21.458058221,0
21.466413855,1
21.47476949,5
21.483125124,1
21.491480759,0
21.499836393,1
21.508192028,2
21.516547662,0
21.524903297,0
21.533258931,0
21.541614566,2
21.5499702,4
21.558325835,2
21.566681469,1
21.575037104,0
21.583392738,4
21.591748373,2
21.600104007,1
21.608459642,0
21.616815276,1
21.625170911,1
21.633526545,0
21.64188218,1
21.650237814,1
21.658593449,1
21.666949083,1
21.675304718,2
21.683660352,1
21.692015987,0
21.700371621,1
21.708727256,0
21.71708289,1
21.725438525,0
21.733794159,1
21.742149794,1
21.750505428,2
21.758861063,1
21.767216697,1
21.775572332,0
21.783927966,2
21.792283601,1
21.800639235,0
21.80899487,5
21.817350504,2
21.825706138,0
21.834061773,1
21.842417407,0
21.850773042,1
21.859128676,0
21.867484311,0
21.875839945,0
21.88419558,5
21.892551214,0
21.900906849,0
21.909262483,0
21.917618118,1
21.925973752,2
21.934329387,0
21.942685021,0
21.951040656,1
21.95939629,1
21.967751925,2
21.976107559,0
21.984463194,1
21.992818828,1
22.001174463,0
22.009530097,1
22.017885732,1
22.026241366,1
22.034597001,0
22.042952635,2
22.05130827,4
22.059663904,2
22.068019539,0
22.076375173,4
22.084730808,1
22.093086442,4
22.101442077,1
22.109797711,0
22.118153346,2
22.12650898,1
22.134864615,2
22.143220249,1
22.151575884,2
22.159931518,0
22.168287153,1
22.176642787,0
22.184998421,4
22.193354056,2
22.20170969,0
22.210065325,0
22.218420959,1
22.226776594,1
22.235132228,5
22.243487863,2
22.251843497,1
22.260199132,2
22.268554766,0
22.276910401,0
22.285266035,1
22.29362167,0
22.301977304,2
22.310332939,1
22.318688573,2
22.327044208,4
22.335399842,1
22.343755477,4
22.352111111,1
22.360466746,4
22.36882238,1
22.377178015,0
22.385533649,0
22.393889284,2
22.402244918,1
22.410600553,1
22.418956187,0
22.427311822,1
22.435667456,1
22.444023091,0
22.452378725,1
22.46073436,1
22.469089994,1
22.477445629,1
22.485801263,0
22.494156898,1
22.502512532,2
22.510868167,0
22.519223801,0
22.527579436,1
22.53593507,0
22.544290704,1
22.552646339,0
22.561001973,0
22.569357608,0
22.577713242,1
22.586068877,1
22.594424511,0
22.602780146,0
22.61113578,0
22.619491415,1
22.627847049,1
22.636202684,0
22.644558318,1
22.652913953,0
22.661269587,0
22.669625222,1
22.677980856,0
22.686336491,2
22.694692125,0
22.70304776,0
22.711403394,0
22.719759029,0
22.728114663,2
22.736470298,0
22.744825932,0
22.753181567,0
22.761537201,1
22.769892836,1
22.77824847,4
22.786604105,2
22.794959739,1
22.803315374,1
22.811671008,1
22.820026643,0
22.828382277,1
22.836737912,4
22.845093546,1
22.853449181,2
22.861804815,0
22.87016045,1
22.878516084,1
22.886871719,1
22.895227353,4
22.903582988,0
22.911938622,0
22.920294256,1
