[Measurement conditions]
Sample identification,
Comment - 1,"Configuration=MPSS New Configuration, Owner=User-1, Creation date=10/27/2010 9:00:11 AM"
Comment - 2,"Goniometer=PW3050/60 (Theta/Theta); Minimum step size 2Theta:0.001; Minimum step size Omega:0.001"
Comment - 3,"Sample stage=Multi purpose sample stage; Minimum step size Phi:2.5"
Comment - 4,"Diffractometer system=XPERT-PRO"
Comment - 5,"Measurement program=C:\PANalytical\Data Collector\Programs\JIvy\15-70 deg_0.004 step_4 sec per step.xrdmp, Identifier={D694021A-0495-4B56-AF4C-96A93E3EEBAF}"
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.19mm
Monochromator used,NO
Generator voltage, 45
Tube current, 40
File date and time,20/Oct/2020 15:11
Unit cell,
h k l, 0 0 0
Scan axis,Gonio
Scan range,15.000000001,69.996786209
Scan step size,0.0041778
No. of points, 13164
Scan type,CONTINUOUS
Phi,0.0
Time per step,3.810
[Scan points]
Angle,Intensity
15.002088910,20.0
15.006266727,7.0
15.010444544,14.0
15.014622362,5.0
15.018800179,3.0
15.022977996,7.0
15.027155813,9.0
15.031333631,8.0
15.035511448,5.0
15.039689265,10.0
15.043867082,10.0
15.048044900,7.0
15.052222717,7.0
15.056400534,11.0
15.060578351,14.0
15.064756169,4.0
15.068933986,11.0
15.073111803,13.0
15.077289620,14.0
15.081467438,5.0
15.085645255,10.0
15.089823072,10.0
15.094000889,9.0
15.098178707,13.0
15.102356524,10.0
15.106534341,11.0
15.110712158,9.0
15.114889976,11.0
15.119067793,8.0
15.123245610,9.0
15.127423427,16.0
15.131601245,5.0
15.135779062,11.0
15.139956879,16.0
15.144134696,8.0
15.148312514,3.0
15.152490331,9.0
15.156668148,16.0
15.160845965,7.0
15.165023783,10.0
15.169201600,11.0
15.173379417,8.0
15.177557234,8.0
15.181735052,9.0
15.185912869,4.0
15.190090686,13.0
15.194268503,11.0
15.198446320,17.0
15.202624138,8.0
15.206801955,3.0
15.210979772,9.0
15.215157589,10.0
15.219335407,11.0
15.223513224,7.0
15.227691041,11.0
15.231868858,18.0
15.236046676,8.0
15.240224493,11.0
15.244402310,11.0
15.248580127,8.0
15.252757945,9.0
15.256935762,9.0
15.261113579,7.0
15.265291396,5.0
15.269469214,5.0
15.273647031,8.0
15.277824848,10.0
15.282002665,8.0
15.286180483,14.0
15.290358300,5.0
15.294536117,13.0
15.298713934,2.0
15.302891752,9.0
15.307069569,9.0
15.311247386,3.0
15.315425203,9.0
15.319603021,7.0
15.323780838,10.0
15.327958655,13.0
15.332136472,3.0
15.336314290,7.0
15.340492107,5.0
15.344669924,4.0
15.348847741,8.0
15.353025559,5.0
15.357203376,4.0
15.361381193,7.0
15.365559010,5.0
15.369736828,9.0
15.373914645,9.0
15.378092462,9.0
15.382270279,5.0
15.386448096,16.0
15.390625914,11.0
15.394803731,11.0
15.398981548,5.0
15.403159365,14.0
15.407337183,5.0
15.411515000,3.0
15.415692817,13.0
15.419870634,9.0
15.424048452,8.0
15.428226269,11.0
15.432404086,14.0
15.436581903,7.0
15.440759721,10.0
15.444937538,20.0
15.449115355,14.0
15.453293172,8.0
15.457470990,10.0
15.461648807,9.0
15.465826624,7.0
15.470004441,9.0
15.474182259,13.0
15.478360076,13.0
15.482537893,8.0
15.486715710,5.0
15.490893528,10.0
15.495071345,8.0
15.499249162,9.0
15.503426979,10.0
15.507604797,5.0
15.511782614,10.0
15.515960431,8.0
15.520138248,9.0
15.524316066,9.0
15.528493883,7.0
15.532671700,13.0
15.536849517,8.0
15.541027335,9.0
15.545205152,9.0
15.549382969,7.0
15.553560786,8.0
15.557738604,5.0
15.561916421,7.0
15.566094238,10.0
15.570272055,7.0
15.574449873,11.0
