[Measurement conditions]
Sample identification,PZTReactiveSinteringBatch2
Comment - 1,"Configuration=MPSS New Configuration, Owner=User-1, Creation date=10/27/2010 9:00:11 AM"
Comment - 2,"Goniometer=PW3050/60 (Theta/Theta); Minimum step size 2Theta:0.001; Minimum step size Omega:0.001"
Comment - 3,"Sample stage=Multi purpose sample stage; Minimum step size Phi:2.5"
Comment - 4,"Diffractometer system=XPERT-PRO"
Comment - 5,"Measurement program=C:\XRD Data\Aidan Ravnik\GeneralQuickScan10-100deg.xrdmp, Identifier={421A12CB-BC59-4E45-81EC-8D2024CB8EA2}"
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.19mm
Monochromator used,NO
Generator voltage, 45
Tube current, 40
File date and time,28/Oct/2020 12:19
Unit cell,
h k l, 0 0 0
Scan axis,Gonio
Scan range,9.999999996,110.000233564
Scan step size,0.0167113
No. of points, 5984
Scan type,CONTINUOUS
Phi,0.0
Time per step,1.905
[Scan points]
Angle,Intensity
10.008355630,10.0
10.025066899,14.0
10.041778168,14.0
10.058489437,6.0
10.075200706,2.0
10.091911975,10.0
10.108623244,8.0
10.125334513,12.0
10.142045782,2.0
10.158757051,5.0
10.175468320,6.0
10.192179589,5.0
10.208890858,6.0
10.225602127,8.0
10.242313396,6.0
10.259024665,4.0
10.275735934,4.0
10.292447203,5.0
10.309158472,5.0
10.325869741,2.0
10.342581010,6.0
10.359292279,8.0
10.376003548,10.0
10.392714817,5.0
10.409426085,8.0
10.426137354,9.0
10.442848623,8.0
10.459559892,9.0
10.476271161,4.0
10.492982430,5.0
10.509693699,5.0
10.526404968,2.0
10.543116237,5.0
10.559827506,4.0
10.576538775,5.0
10.593250044,13.0
10.609961313,5.0
10.626672582,12.0
10.643383851,9.0
10.660095120,10.0
10.676806389,6.0
10.693517658,6.0
10.710228927,10.0
10.726940196,5.0
10.743651465,8.0
10.760362734,9.0
10.777074003,6.0
10.793785272,8.0
10.810496541,8.0
10.827207810,5.0
10.843919079,6.0
10.860630348,6.0
10.877341617,12.0
10.894052886,5.0
10.910764155,5.0
10.927475424,6.0
10.944186693,5.0
10.960897962,9.0
10.977609231,9.0
10.994320500,9.0
11.011031769,12.0
11.027743038,5.0
11.044454307,6.0
11.061165576,8.0
11.077876845,4.0
11.094588114,4.0
11.111299383,4.0
11.128010652,2.0
11.144721921,9.0
11.161433190,6.0
11.178144459,6.0
11.194855727,8.0
11.211566996,9.0
11.228278265,6.0
11.244989534,0.0
11.261700803,2.0
11.278412072,12.0
11.295123341,2.0
11.311834610,4.0
11.328545879,8.0
11.345257148,6.0
11.361968417,4.0
11.378679686,6.0
11.395390955,6.0
11.412102224,5.0
11.428813493,4.0
11.445524762,9.0
11.462236031,9.0
11.478947300,1.0
11.495658569,6.0
11.512369838,2.0
11.529081107,4.0
11.545792376,6.0
11.562503645,5.0
11.579214914,5.0
11.595926183,13.0
11.612637452,6.0
11.629348721,2.0
11.646059990,10.0
11.662771259,6.0
11.679482528,1.0
11.696193797,8.0
11.712905066,8.0
11.729616335,2.0
11.746327604,2.0
11.763038873,1.0
11.779750142,8.0
11.796461411,8.0
11.813172680,6.0
11.829883949,5.0
11.846595218,4.0
11.863306487,5.0
11.880017756,5.0
11.896729025,13.0
11.913440294,0.0
11.930151563,4.0
11.946862832,4.0
11.963574101,4.0
11.980285369,5.0
11.996996638,10.0
12.013707907,8.0
12.030419176,5.0
12.047130445,2.0
12.063841714,5.0
12.080552983,2.0
12.097264252,9.0
12.113975521,5.0
12.130686790,4.0
12.147398059,5.0
12.164109328,4.0
12.180820597,9.0
12.197531866,6.0
12.214243135,5.0
12.230954404,9.0
12.247665673,10.0
12.264376942,9.0
12.281088211,13.0
12.297799480,6.0
