[Measurement conditions]
Sample identification,
Comment - 1,"Configuration=MPSS New Configuration, Owner=User-1, Creation date=10/27/2010 9:00:11 AM"
Comment - 2,"Goniometer=PW3050/60 (Theta/Theta); Minimum step size 2Theta:0.001; Minimum step size Omega:0.001"
Comment - 3,"Sample stage=Multi purpose sample stage; Minimum step size Phi:2.5"
Comment - 4,"Diffractometer system=XPERT-PRO"
Comment - 5,"Measurement program=C:\PANalytical\Data Collector\Programs\JIvy\15-70 deg_0.004 step_4 sec per step.xrdmp, Identifier={D694021A-0495-4B56-AF4C-96A93E3EEBAF}"
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.19mm
Monochromator used,NO
Generator voltage, 45
Tube current, 40
File date and time,20/Oct/2020 15:23
Unit cell,
h k l, 0 0 0
Scan axis,Gonio
Scan range,15.000000001,69.996786209
Scan step size,0.0041778
No. of points, 13164
Scan type,CONTINUOUS
Phi,0.0
Time per step,3.810
[Scan points]
Angle,Intensity
15.002088910,15.0
15.006266727,11.0
15.010444544,9.0
15.014622362,9.0
15.018800179,7.0
15.022977996,14.0
15.027155813,8.0
15.031333631,10.0
15.035511448,8.0
15.039689265,3.0
15.043867082,4.0
15.048044900,9.0
15.052222717,5.0
15.056400534,10.0
15.060578351,5.0
15.064756169,7.0
15.068933986,9.0
15.073111803,8.0
15.077289620,3.0
15.081467438,11.0
15.085645255,5.0
15.089823072,3.0
15.094000889,9.0
15.098178707,11.0
15.102356524,7.0
15.106534341,7.0
15.110712158,9.0
15.114889976,3.0
15.119067793,5.0
15.123245610,3.0
15.127423427,9.0
15.131601245,14.0
15.135779062,7.0
15.139956879,9.0
15.144134696,9.0
15.148312514,20.0
15.152490331,9.0
15.156668148,18.0
15.160845965,14.0
15.165023783,9.0
15.169201600,9.0
15.173379417,10.0
15.177557234,9.0
15.181735052,10.0
15.185912869,11.0
15.190090686,7.0
15.194268503,13.0
15.198446320,8.0
15.202624138,7.0
15.206801955,8.0
15.210979772,9.0
15.215157589,2.0
15.219335407,14.0
15.223513224,14.0
15.227691041,9.0
15.231868858,8.0
15.236046676,7.0
15.240224493,7.0
15.244402310,11.0
15.248580127,4.0
15.252757945,7.0
15.256935762,14.0
15.261113579,7.0
15.265291396,9.0
15.269469214,13.0
15.273647031,13.0
15.277824848,8.0
15.282002665,10.0
15.286180483,10.0
15.290358300,10.0
15.294536117,4.0
15.298713934,9.0
15.302891752,10.0
15.307069569,10.0
15.311247386,8.0
15.315425203,8.0
15.319603021,8.0
15.323780838,5.0
15.327958655,13.0
15.332136472,9.0
15.336314290,9.0
15.340492107,10.0
15.344669924,7.0
15.348847741,9.0
15.353025559,9.0
15.357203376,11.0
15.361381193,3.0
15.365559010,7.0
15.369736828,8.0
15.373914645,9.0
15.378092462,7.0
15.382270279,10.0
15.386448096,7.0
15.390625914,8.0
15.394803731,9.0
15.398981548,7.0
15.403159365,10.0
15.407337183,5.0
15.411515000,9.0
15.415692817,5.0
15.419870634,4.0
15.424048452,8.0
15.428226269,9.0
15.432404086,5.0
15.436581903,7.0
15.440759721,8.0
15.444937538,9.0
15.449115355,10.0
15.453293172,8.0
15.457470990,10.0
15.461648807,8.0
15.465826624,5.0
15.470004441,8.0
15.474182259,7.0
15.478360076,7.0
15.482537893,9.0
15.486715710,8.0
15.490893528,14.0
15.495071345,9.0
15.499249162,8.0
15.503426979,7.0
15.507604797,14.0
15.511782614,10.0
15.515960431,9.0
15.520138248,11.0
15.524316066,17.0
15.528493883,14.0
15.532671700,9.0
15.536849517,11.0
15.541027335,7.0
15.545205152,8.0
15.549382969,9.0
15.553560786,10.0
15.557738604,5.0
15.561916421,2.0
15.566094238,7.0
15.570272055,11.0
15.574449873,10.0
