Angle,Intensity
10.00835563,10
10.025066899,14
10.041778168,14
10.058489437,6
10.075200706,2
10.091911975,10
10.108623244,8
10.125334513,12
10.142045782,2
10.158757051,5
10.17546832,6
10.192179589,5
10.208890858,6
10.225602127,8
10.242313396,6
10.259024665,4
10.275735934,4
10.292447203,5
10.309158472,5
10.325869741,2
10.34258101,6
10.359292279,8
10.376003548,10
10.392714817,5
10.409426085,8
10.426137354,9
10.442848623,8
10.459559892,9
10.476271161,4
10.49298243,5
10.509693699,5
10.526404968,2
10.543116237,5
10.559827506,4
10.576538775,5
10.593250044,13
10.609961313,5
10.626672582,12
10.643383851,9
10.66009512,10
10.676806389,6
10.693517658,6
10.710228927,10
10.726940196,5
10.743651465,8
10.760362734,9
10.777074003,6
10.793785272,8
10.810496541,8
10.82720781,5
10.843919079,6
10.860630348,6
10.877341617,12
10.894052886,5
10.910764155,5
10.927475424,6
10.944186693,5
10.960897962,9
10.977609231,9
10.9943205,9
11.011031769,12
11.027743038,5
11.044454307,6
11.061165576,8
11.077876845,4
11.094588114,4
11.111299383,4
11.128010652,2
11.144721921,9
11.16143319,6
11.178144459,6
11.194855727,8
11.211566996,9
11.228278265,6
11.244989534,0
11.261700803,2
11.278412072,12
11.295123341,2
11.31183461,4
11.328545879,8
11.345257148,6
11.361968417,4
11.378679686,6
11.395390955,6
11.412102224,5
11.428813493,4
11.445524762,9
11.462236031,9
11.4789473,1
11.495658569,6
11.512369838,2
11.529081107,4
11.545792376,6
11.562503645,5
11.579214914,5
11.595926183,13
11.612637452,6
11.629348721,2
11.64605999,10
11.662771259,6
11.679482528,1
11.696193797,8
11.712905066,8
11.729616335,2
11.746327604,2
11.763038873,1
11.779750142,8
11.796461411,8
11.81317268,6
11.829883949,5
11.846595218,4
11.863306487,5
11.880017756,5
11.896729025,13
11.913440294,0
11.930151563,4
11.946862832,4
11.963574101,4
11.980285369,5
11.996996638,10
12.013707907,8
12.030419176,5
12.047130445,2
12.063841714,5
12.080552983,2
12.097264252,9
12.113975521,5
12.13068679,4
12.147398059,5
12.164109328,4
12.180820597,9
12.197531866,6
12.214243135,5
12.230954404,9
12.247665673,10
12.264376942,9
12.281088211,13
12.29779948,6
12.314510749,8
12.331222018,1
12.347933287,0
12.364644556,1
12.381355825,6
12.398067094,1
12.414778363,5
12.431489632,9
12.448200901,4
12.46491217,9
12.481623439,2
12.498334708,6
12.515045977,4
12.531757246,2
12.548468515,6
12.565179784,5
12.581891053,2
12.598602322,9
12.615313591,1
12.63202486,1
12.648736129,5
12.665447398,6
12.682158667,4
12.698869936,8
12.715581205,5
12.732292474,6
12.749003743,4
12.765715011,5
12.78242628,6
12.799137549,4
12.815848818,2
12.832560087,5
12.849271356,6
12.865982625,5
12.882693894,5
12.899405163,4
12.916116432,6
12.932827701,2
12.94953897,5
12.966250239,4
12.982961508,5
12.999672777,4
13.016384046,2
13.033095315,6
13.049806584,0
13.066517853,6
13.083229122,8
13.099940391,5
13.11665166,2
13.133362929,4
13.150074198,2
13.166785467,8
13.183496736,2
13.200208005,4
13.216919274,0
13.233630543,9
13.250341812,6
13.267053081,5
13.28376435,1
13.300475619,5
13.317186888,5
13.333898157,2
13.350609426,6
13.367320695,2
13.384031964,4
13.400743233,8
13.417454502,2
13.434165771,2
13.45087704,5
13.467588309,2
13.484299578,8
13.501010847,2
13.517722116,8
13.534433385,1
13.551144653,2
13.567855922,2
13.584567191,6
13.60127846,6
13.617989729,5
13.634700998,1
13.651412267,1
13.668123536,2
13.684834805,4
13.701546074,2
13.718257343,4
13.734968612,0
13.751679881,1
13.76839115,6
13.785102419,4
13.801813688,0
13.818524957,1
13.835236226,2
13.851947495,2
13.868658764,2
13.885370033,1
13.902081302,4
13.918792571,2
13.93550384,6
13.952215109,8
13.968926378,5
13.985637647,4
14.002348916,5
14.019060185,4
14.035771454,6
14.052482723,2
14.069193992,1
14.085905261,8
14.10261653,6
14.119327799,4
14.136039068,2
14.152750337,8
14.169461606,4
14.186172875,2
14.202884144,6
14.219595413,5
14.236306682,12
14.253017951,2
14.26972922,12
14.286440489,2
14.303151758,4
14.319863027,2
14.336574296,10
14.353285564,5
14.369996833,2
14.386708102,6
14.403419371,2
14.42013064,4
14.436841909,6
14.453553178,4
14.470264447,6
14.486975716,6
14.503686985,1
14.520398254,6
14.537109523,1
14.553820792,5
14.570532061,6
14.58724333,4
14.603954599,4
14.620665868,4
14.637377137,9
14.654088406,9
14.670799675,4
14.687510944,4
14.704222213,2
14.720933482,2
14.737644751,2
14.75435602,4
14.771067289,6
14.787778558,2
14.804489827,1
14.821201096,5
14.837912365,4
14.854623634,6
14.871334903,5
14.888046172,4
14.904757441,9
14.92146871,5
14.938179979,1
14.954891248,6
14.971602517,4
14.988313786,4
15.005025055,1
15.021736324,2
15.038447593,8
15.055158862,1
15.071870131,4
15.0885814,2
15.105292669,9
15.122003938,9
15.138715206,4
15.155426475,4
15.172137744,1
15.188849013,1
15.205560282,1
15.222271551,2
15.23898282,2
15.255694089,4
15.272405358,4
15.289116627,6
15.305827896,5
15.322539165,2
15.339250434,4
15.355961703,4
15.372672972,2
15.389384241,5
15.40609551,1
15.422806779,2
15.439518048,8
15.456229317,8
15.472940586,0
15.489651855,5
15.506363124,4
15.523074393,4
15.539785662,8
15.556496931,4
15.5732082,2
15.589919469,2
15.606630738,2
15.623342007,5
15.640053276,4
15.656764545,1
15.673475814,5
15.690187083,4
15.706898352,5
15.723609621,4
15.74032089,1
15.757032159,1
15.773743428,2
15.790454697,4
15.807165966,2
15.823877235,6
15.840588504,1
15.857299773,5
15.874011042,8
15.890722311,4
15.90743358,1
15.924144848,5
15.940856117,4
15.957567386,4
15.974278655,5
15.990989924,2
16.007701193,4
16.024412462,4
16.041123731,4
16.057835,0
16.074546269,1
16.091257538,4
16.107968807,4
16.124680076,2
16.141391345,14
16.158102614,9
16.174813883,2
16.191525152,1
16.208236421,6
16.22494769,10
16.241658959,1
16.258370228,5
16.275081497,2
16.291792766,1
16.308504035,4
16.325215304,2
16.341926573,5
16.358637842,8
16.375349111,1
16.39206038,1
16.408771649,2
16.425482918,1
16.442194187,2
16.458905456,2
16.475616725,4
16.492327994,1
16.509039263,6
16.525750532,1
16.542461801,2
16.55917307,4
16.575884339,2
16.592595608,4
16.609306877,6
16.626018146,1
16.642729415,2
16.659440684,2
16.676151953,9
16.692863222,4
16.70957449,5
16.726285759,1
16.742997028,5
16.759708297,6
16.776419566,4
16.793130835,2
16.809842104,1
16.826553373,1
16.843264642,4
16.859975911,4
16.87668718,2
16.893398449,5
16.910109718,1
16.926820987,2
16.943532256,2
16.960243525,2
16.976954794,0
16.993666063,9
17.010377332,2
17.027088601,2
17.04379987,8
17.060511139,2
17.077222408,2
17.093933677,5
17.110644946,2
17.127356215,1
17.144067484,2
17.160778753,5
17.177490022,2
17.194201291,4
17.21091256,5
17.227623829,0
17.244335098,1
17.261046367,5
17.277757636,5
17.294468905,1
17.311180174,5
17.327891443,2
17.344602712,6
17.361313981,1
17.37802525,1
17.394736519,2
17.411447788,2
17.428159057,1
17.444870326,4
17.461581595,2
17.478292864,4
17.495004132,1
17.511715401,9
17.52842667,4
17.545137939,2
17.561849208,1
17.578560477,2
17.595271746,5
17.611983015,2
17.628694284,5
17.645405553,9
17.662116822,5
17.678828091,0
17.69553936,1
17.712250629,12
17.728961898,2
17.745673167,6
17.762384436,4
17.779095705,5
17.795806974,2
17.812518243,8
17.829229512,1
17.845940781,4
17.86265205,5
17.879363319,1
17.896074588,1
17.912785857,0
17.929497126,5
17.946208395,2
17.962919664,2
17.979630933,2
17.996342202,4
18.013053471,2
18.02976474,4
18.046476009,1
18.063187278,4
18.079898547,5
18.096609816,5
18.113321085,2
18.130032354,5
18.146743623,0
18.163454892,4
18.180166161,2
18.19687743,2
18.213588699,1
18.230299968,0
18.247011237,0
18.263722506,5
18.280433774,2
18.297145043,4
18.313856312,4
18.330567581,1
18.34727885,4
18.363990119,1
18.380701388,6
18.397412657,2
18.414123926,2
18.430835195,4
18.447546464,1
18.464257733,4
18.480969002,4
18.497680271,4
18.51439154,2
18.531102809,1
18.547814078,1
18.564525347,2
18.581236616,0
18.597947885,8
18.614659154,6
18.631370423,0
18.648081692,2
18.664792961,5
18.68150423,4
18.698215499,1
18.714926768,1
18.731638037,2
18.748349306,2
18.765060575,6
18.781771844,6
18.798483113,0
18.815194382,2
18.831905651,5
18.84861692,0
18.865328189,1
18.882039458,5
18.898750727,1
18.915461996,5
18.932173265,0
18.948884534,1
18.965595803,6
18.982307072,4
18.999018341,1
19.01572961,5
19.032440879,0
19.049152148,2
19.065863416,2
19.082574685,1
19.099285954,2
19.115997223,9
19.132708492,2
19.149419761,1
19.16613103,2
19.182842299,4
19.199553568,1
19.216264837,2
19.232976106,2
19.249687375,2
19.266398644,2
19.283109913,1
19.299821182,6
19.316532451,5
19.33324372,1
19.349954989,2
19.366666258,6
19.383377527,2
19.400088796,1
19.416800065,1
19.433511334,5
19.450222603,6
19.466933872,2
19.483645141,2
19.50035641,2
19.517067679,1
19.533778948,6
19.550490217,1
19.567201486,1
19.583912755,5
19.600624024,4
19.617335293,1
19.634046562,2
19.650757831,1
19.6674691,10
19.684180369,4
19.700891638,4
19.717602907,2
19.734314176,5
19.751025445,5
19.767736714,0
19.784447983,1
19.801159252,2
19.817870521,4
19.83458179,4
19.851293058,2
19.868004327,4
19.884715596,1
19.901426865,1
19.918138134,2
19.934849403,2
19.951560672,4
19.968271941,1
19.98498321,2
20.001694479,1
20.018405748,2
20.035117017,5
20.051828286,4
20.068539555,2
20.085250824,4
20.101962093,1
20.118673362,2
20.135384631,1
20.1520959,1
20.168807169,2
20.185518438,2
20.202229707,0
20.218940976,2
20.235652245,5
20.252363514,4
20.269074783,2
20.285786052,5
20.302497321,2
20.31920859,2
20.335919859,2
20.352631128,5
20.369342397,4
20.386053666,1
20.402764935,1
20.419476204,2
20.436187473,0
20.452898742,0
20.469610011,2
20.48632128,2
20.503032549,5
20.519743818,1
20.536455087,1
20.553166356,6
20.569877625,1
20.586588894,1
20.603300163,5
20.620011432,0
20.6367227,2
20.653433969,2
20.670145238,2
20.686856507,5
20.703567776,5
20.720279045,4
20.736990314,2
20.753701583,4
20.770412852,5
20.787124121,2
20.80383539,4
20.820546659,1
20.837257928,0
20.853969197,2
20.870680466,2
20.887391735,1
20.904103004,2
20.920814273,5
20.937525542,1
20.954236811,1
20.97094808,4
20.987659349,5
21.004370618,2
21.021081887,6
21.037793156,6
21.054504425,2
21.071215694,2
21.087926963,6
21.104638232,6
21.121349501,1
21.13806077,2
21.154772039,2
21.171483308,1
21.188194577,4
21.204905846,1
21.221617115,6
21.238328384,5
21.255039653,10
21.271750922,6
21.288462191,12
21.30517346,6
21.321884729,8
21.338595998,10
21.355307267,10
21.372018536,13
21.388729805,17
21.405441074,21
21.422152343,26
21.438863611,20
21.45557488,24
21.472286149,13
21.488997418,18
21.505708687,21
21.522419956,17
21.539131225,18
21.555842494,16
21.572553763,21
21.589265032,21
21.605976301,12
21.62268757,13
21.639398839,14
21.656110108,6
21.672821377,17
21.689532646,12
21.706243915,14
21.722955184,8
21.739666453,8
21.756377722,10
21.773088991,6
21.78980026,9
21.806511529,13
21.823222798,17
21.839934067,12
21.856645336,8
21.873356605,18
21.890067874,9
21.906779143,12
21.923490412,9
21.940201681,10
21.95691295,16
21.973624219,13
21.990335488,10
22.007046757,8
22.023758026,24
22.040469295,18
22.057180564,34
22.073891833,17
22.090603102,29
22.107314371,22
22.12402564,20
22.140736909,28
22.157448178,18
22.174159447,32
22.190870716,32
22.207581985,8
22.224293253,20
22.241004522,9
22.257715791,10
22.27442706,8
22.291138329,17
22.307849598,9
22.324560867,6
22.341272136,4
22.357983405,2
22.374694674,4
22.391405943,6
22.408117212,9
22.424828481,6
22.44153975,4
22.458251019,4
22.474962288,0
22.491673557,4
22.508384826,5
22.525096095,2
22.541807364,1
22.558518633,5
22.575229902,1
22.591941171,5
22.60865244,1
22.625363709,6
22.642074978,0
22.658786247,6
22.675497516,1
22.692208785,5
22.708920054,0
22.725631323,4
22.742342592,4
22.759053861,5
22.77576513,5
22.792476399,5
22.809187668,1
22.825898937,0
22.842610206,0
22.859321475,5
22.876032744,2
22.892744013,2
22.909455282,0
22.926166551,1
22.94287782,8
22.959589089,1
22.976300358,5
22.993011627,2
23.009722895,4
23.026434164,1
23.043145433,5
23.059856702,0
23.076567971,8
23.09327924,4
23.109990509,4
23.126701778,1
23.143413047,2
23.160124316,1
23.176835585,1
23.193546854,2
23.210258123,2
23.226969392,2
23.243680661,6
23.26039193,4
23.277103199,1
23.293814468,1
23.310525737,4
23.327237006,1
23.343948275,0
23.360659544,6
23.377370813,1
23.394082082,2
23.410793351,0
23.42750462,2
23.444215889,2
23.460927158,2
23.477638427,2
23.494349696,4
23.511060965,0
23.527772234,2
23.544483503,1
23.561194772,2
23.577906041,2
23.59461731,1
23.611328579,2
23.628039848,2
23.644751117,1
23.661462386,1
23.678173655,1
23.694884924,2
23.711596193,2
23.728307462,2
23.745018731,1
23.76173,1
23.778441269,1
23.795152537,1
23.811863806,2
23.828575075,2
23.845286344,1
23.861997613,1
23.878708882,1
23.895420151,1
23.91213142,0
23.928842689,1
23.945553958,1
23.962265227,6
23.978976496,5
23.995687765,5
24.012399034,4
24.029110303,4
24.045821572,2
24.062532841,4
24.07924411,1
24.095955379,4
24.112666648,2
24.129377917,1
24.146089186,2
24.162800455,0
24.179511724,2
24.196222993,1
24.212934262,2
24.229645531,1
24.2463568,2
24.263068069,0
24.279779338,1
24.296490607,4
24.313201876,5
24.329913145,2
24.346624414,0
24.363335683,4
24.380046952,0
24.396758221,1
24.41346949,2
24.430180759,0
24.446892028,4
24.463603297,2
24.480314566,4
24.497025835,1
24.513737104,2
24.530448373,1
24.547159642,2
24.563870911,1
24.580582179,2
24.597293448,2
24.614004717,1
24.630715986,1
24.647427255,0
24.664138524,5
24.680849793,4
24.697561062,2
24.714272331,5
24.7309836,0
24.747694869,0
24.764406138,2
24.781117407,0
24.797828676,4
24.814539945,2
24.831251214,0
24.847962483,2
24.864673752,0
24.881385021,1
24.89809629,1
24.914807559,5
24.931518828,1
24.948230097,4
24.964941366,0
24.981652635,0
24.998363904,1
25.015075173,2
25.031786442,2
25.048497711,2
25.06520898,2
25.081920249,1
25.098631518,0
25.115342787,2
25.132054056,2
25.148765325,2
25.165476594,4
25.182187863,1
25.198899132,2
25.215610401,2
25.23232167,1
25.249032939,4
25.265744208,1
25.282455477,0
25.299166746,0
25.315878015,1
25.332589284,2
25.349300553,2
25.366011821,4
25.38272309,2
25.399434359,0
25.416145628,1
25.432856897,0
25.449568166,2
25.466279435,2
25.482990704,0
25.499701973,2
25.516413242,2
25.533124511,2
25.54983578,1
25.566547049,1
25.583258318,1
25.599969587,4
25.616680856,2
25.633392125,2
25.650103394,1
25.666814663,1
25.683525932,1
25.700237201,2
25.71694847,2
25.733659739,2
25.750371008,0
25.767082277,0
25.783793546,2
25.800504815,1
25.817216084,2
25.833927353,2
25.850638622,2
25.867349891,1
25.88406116,2
25.900772429,2
25.917483698,4
25.934194967,0
25.950906236,2
25.967617505,4
25.984328774,2
26.001040043,4
26.017751312,1
26.034462581,1
26.05117385,5
26.067885119,2
26.084596388,1
26.101307657,1
26.118018926,2
26.134730195,2
26.151441463,4
26.168152732,6
26.184864001,0
26.20157527,2
26.218286539,2
26.234997808,4
26.251709077,5
26.268420346,0
26.285131615,1
26.301842884,0
26.318554153,2
26.335265422,1
26.351976691,1
26.36868796,4
26.385399229,1
26.402110498,2
26.418821767,2
26.435533036,1
26.452244305,2
26.468955574,2
26.485666843,0
26.502378112,4
26.519089381,0
26.53580065,2
26.552511919,8
26.569223188,0
26.585934457,5
26.602645726,4
26.619356995,1
26.636068264,1
26.652779533,4
26.669490802,0
26.686202071,2
26.70291334,0
26.719624609,1
26.736335878,1
26.753047147,2
26.769758416,4
26.786469685,0
26.803180954,2
26.819892223,2
26.836603492,2
26.853314761,1
26.87002603,0
26.886737299,0
26.903448568,0
26.920159837,0
26.936871105,2
26.953582374,0
26.970293643,2
26.987004912,1
27.003716181,2
27.02042745,6
27.037138719,2
27.053849988,1
27.070561257,4
27.087272526,1
27.103983795,0
27.120695064,0
27.137406333,0
27.154117602,2
27.170828871,1
27.18754014,0
27.204251409,0
27.220962678,6
27.237673947,0
27.254385216,1
27.271096485,2
27.287807754,2
27.304519023,0
27.321230292,1
27.337941561,4
27.35465283,0
27.371364099,0
27.388075368,1
27.404786637,1
27.421497906,0
27.438209175,0
27.454920444,0
27.471631713,5
27.488342982,1
27.505054251,2
27.52176552,1
27.538476789,4
27.555188058,1
27.571899327,2
27.588610596,2
27.605321865,2
27.622033134,2
27.638744403,1
27.655455672,2
27.672166941,6
27.68887821,2
27.705589479,4
27.722300747,2
27.739012016,0
27.755723285,1
27.772434554,4
27.789145823,5
27.805857092,0
27.822568361,2
27.83927963,1
27.855990899,2
27.872702168,2
27.889413437,4
27.906124706,6
27.922835975,4
27.939547244,2
27.956258513,0
27.972969782,2
27.989681051,4
28.00639232,2
28.023103589,2
28.039814858,4
28.056526127,4
28.073237396,1
28.089948665,1
28.106659934,2
28.123371203,2
28.140082472,2
28.156793741,0
28.17350501,1
28.190216279,4
28.206927548,4
28.223638817,4
28.240350086,2
28.257061355,4
28.273772624,4
28.290483893,1
28.307195162,2
28.323906431,4
28.3406177,0
28.357328969,1
28.374040238,4
28.390751507,1
28.407462776,4
28.424174045,2
28.440885314,0
28.457596583,1
28.474307852,9
28.491019121,2
28.50773039,2
28.524441658,2
28.541152927,4
28.557864196,0
28.574575465,1
28.591286734,2
28.607998003,2
28.624709272,1
28.641420541,1
28.65813181,4
28.674843079,4
28.691554348,1
28.708265617,0
28.724976886,1
28.741688155,2
28.758399424,1
28.775110693,4
28.791821962,4
28.808533231,1
28.8252445,4
28.841955769,1
28.858667038,2
28.875378307,0
28.892089576,0
28.908800845,5
28.925512114,2
28.942223383,2
28.958934652,2
28.975645921,0
28.99235719,1
29.009068459,1
29.025779728,2
29.042490997,2
29.059202266,2
29.075913535,1
29.092624804,5
29.109336073,4
29.126047342,2
29.142758611,2
29.15946988,0
29.176181149,1
29.192892418,0
29.209603687,4
29.226314956,1
29.243026225,1
29.259737494,1
29.276448763,2
29.293160032,1
29.3098713,4
29.326582569,2
29.343293838,2
29.360005107,4
29.376716376,2
29.393427645,0
29.410138914,1
29.426850183,2
29.443561452,1
29.460272721,2
29.47698399,6
29.493695259,1
29.510406528,1
29.527117797,1
29.543829066,4
29.560540335,5
29.577251604,0
29.593962873,1
29.610674142,1
29.627385411,2
29.64409668,2
29.660807949,5
29.677519218,0
29.694230487,1
29.710941756,4
29.727653025,1
29.744364294,5
29.761075563,4
29.777786832,1
29.794498101,1
29.81120937,0
29.827920639,4
29.844631908,0
29.861343177,1
29.878054446,4
29.894765715,2
29.911476984,5
29.928188253,5
29.944899522,6
29.961610791,1
29.97832206,5
29.995033329,9
30.011744598,8
30.028455867,14
30.045167136,5
30.061878405,0
30.078589674,8
30.095300942,5
30.112012211,6
30.12872348,10
30.145434749,6
30.162146018,6
30.178857287,9
30.195568556,4
30.212279825,8
30.228991094,6
30.245702363,4
30.262413632,2
30.279124901,2
30.29583617,4
30.312547439,2
30.329258708,1
30.345969977,2
30.362681246,1
30.379392515,0
30.396103784,1
30.412815053,8
30.429526322,6
30.446237591,4
30.46294886,5
30.479660129,6
30.496371398,8
30.513082667,4
30.529793936,6
30.546505205,5
30.563216474,4
30.579927743,9
30.596639012,8
30.613350281,6
30.63006155,5
30.646772819,9
30.663484088,14
30.680195357,9
30.696906626,12
30.713617895,16
30.730329164,36
30.747040433,26
30.763751702,25
30.780462971,36
30.79717424,48
30.813885509,62
30.830596778,56
30.847308047,56
30.864019316,60
30.880730584,88
30.897441853,101
30.914153122,82
30.930864391,108
30.94757566,97
30.964286929,125
30.980998198,133
30.997709467,139
31.014420736,120
31.031132005,157
31.047843274,161
31.064554543,133
31.081265812,118
31.097977081,100
31.11468835,141
31.131399619,101
31.148110888,110
31.164822157,96
31.181533426,86
31.198244695,68
31.214955964,81
31.231667233,45
31.248378502,64
31.265089771,48
31.28180104,58
31.298512309,68
31.315223578,50
31.331934847,70
31.348646116,60
31.365357385,58
31.382068654,48
31.398779923,58
31.415491192,44
31.432202461,50
31.44891373,64
31.465624999,50
31.482336268,56
31.499047537,64
31.515758806,58
31.532470075,65
31.549181344,53
31.565892613,52
31.582603882,46
31.599315151,40
31.61602642,28
31.632737689,28
31.649448958,22
31.666160226,25
31.682871495,28
31.699582764,16
31.716294033,10
31.733005302,8
31.749716571,20
31.76642784,10
31.783139109,17
31.799850378,6
31.816561647,4
31.833272916,8
31.849984185,8
31.866695454,4
31.883406723,8
31.900117992,8
31.916829261,8
31.93354053,6
31.950251799,9
31.966963068,9
31.983674337,2
32.000385606,5
32.017096875,5
32.033808144,2
32.050519413,4
32.067230682,1
32.083941951,9
32.10065322,4
32.117364489,2
32.134075758,2
32.150787027,2
32.167498296,2
32.184209565,0
32.200920834,2
32.217632103,2
32.234343372,4
32.251054641,1
32.26776591,1
32.284477179,0
32.301188448,2
32.317899717,6
32.334610986,4
32.351322255,4
32.368033524,5
32.384744793,1
32.401456062,0
32.418167331,1
32.4348786,0
32.451589868,2
32.468301137,4
32.485012406,4
32.501723675,1
32.518434944,2
32.535146213,4
32.551857482,2
32.568568751,0
32.58528002,0
32.601991289,1
32.618702558,0
32.635413827,0
32.652125096,2
32.668836365,5
32.685547634,2
32.702258903,1
32.718970172,2
32.735681441,2
32.75239271,4
32.769103979,1
32.785815248,0
32.802526517,5
32.819237786,0
32.835949055,1
32.852660324,1
32.869371593,0
32.886082862,5
32.902794131,4
32.9195054,2
32.936216669,1
32.952927938,4
32.969639207,4
32.986350476,1
33.003061745,0
33.019773014,1
33.036484283,0
33.053195552,1
33.069906821,4
33.08661809,2
33.103329359,1
33.120040628,0
33.136751897,4
33.153463166,0
33.170174435,0
33.186885704,1
33.203596973,1
33.220308242,5
33.23701951,1
33.253730779,4
33.270442048,2
33.287153317,2
33.303864586,1
33.320575855,2
33.337287124,4
33.353998393,0
33.370709662,0
33.387420931,2
33.4041322,0
33.420843469,0
33.437554738,0
33.454266007,5
33.470977276,0
33.487688545,0
33.504399814,4
33.521111083,0
33.537822352,0
33.554533621,1
33.57124489,1
33.587956159,1
33.604667428,2
33.621378697,2
33.638089966,0
33.654801235,2
33.671512504,1
33.688223773,0
33.704935042,1
33.721646311,0
33.73835758,1
33.755068849,0
33.771780118,2
33.788491387,1
33.805202656,2
33.821913925,1
33.838625194,2
33.855336463,4
33.872047732,0
33.888759001,1
33.90547027,1
33.922181539,1
33.938892808,0
33.955604077,0
