Angle,Intensity
15.00208891,9
15.006266727,13
15.010444544,3
15.014622362,4
15.018800179,9
15.022977996,11
15.027155813,7
15.031333631,7
15.035511448,3
15.039689265,7
15.043867082,15
15.0480449,14
15.052222717,10
15.056400534,13
15.060578351,3
15.064756169,8
15.068933986,11
15.073111803,11
15.07728962,8
15.081467438,4
15.085645255,4
15.089823072,13
15.094000889,9
15.098178707,5
15.102356524,7
15.106534341,5
15.110712158,9
15.114889976,5
15.119067793,5
15.12324561,5
15.127423427,10
15.131601245,9
15.135779062,5
15.139956879,15
15.144134696,3
15.148312514,5
15.152490331,10
15.156668148,7
15.160845965,9
15.165023783,5
15.1692016,9
15.173379417,5
15.177557234,10
15.181735052,8
15.185912869,8
15.190090686,3
15.194268503,9
15.19844632,7
15.202624138,10
15.206801955,7
15.210979772,5
15.215157589,8
15.219335407,9
15.223513224,4
15.227691041,7
15.231868858,5
15.236046676,17
15.240224493,9
15.24440231,4
15.248580127,8
15.252757945,13
15.256935762,11
15.261113579,4
15.265291396,3
15.269469214,8
15.273647031,11
15.277824848,5
15.282002665,3
15.286180483,8
15.2903583,10
15.294536117,7
15.298713934,7
15.302891752,7
15.307069569,9
15.311247386,8
15.315425203,1
15.319603021,4
15.323780838,10
15.327958655,9
15.332136472,10
15.33631429,7
15.340492107,5
15.344669924,8
15.348847741,10
15.353025559,8
15.357203376,5
15.361381193,10
15.36555901,5
15.369736828,11
15.373914645,7
15.378092462,11
15.382270279,8
15.386448096,17
15.390625914,8
15.394803731,5
15.398981548,8
15.403159365,8
15.407337183,7
15.411515,8
15.415692817,5
15.419870634,8
15.424048452,5
15.428226269,7
15.432404086,10
15.436581903,10
15.440759721,0
15.444937538,5
15.449115355,5
15.453293172,13
15.45747099,14
15.461648807,7
15.465826624,9
15.470004441,3
15.474182259,7
15.478360076,11
15.482537893,8
15.48671571,8
15.490893528,8
15.495071345,8
15.499249162,15
15.503426979,11
15.507604797,10
15.511782614,9
15.515960431,5
15.520138248,10
15.524316066,8
15.528493883,7
15.5326717,4
15.536849517,8
15.541027335,16
15.545205152,5
15.549382969,7
15.553560786,7
15.557738604,4
15.561916421,9
15.566094238,7
15.570272055,11
15.574449873,9
15.57862769,11
15.582805507,9
15.586983324,1
15.591161141,8
15.595338959,14
15.599516776,13
15.603694593,10
15.60787241,5
15.612050228,13
15.616228045,3
15.620405862,13
15.624583679,5
15.628761497,7
15.632939314,5
15.637117131,4
15.641294948,5
15.645472766,10
15.649650583,9
15.6538284,11
15.658006217,3
15.662184035,5
15.666361852,7
15.670539669,8
15.674717486,4
15.678895304,3
15.683073121,9
15.687250938,11
15.691428755,4
15.695606573,4
15.69978439,4
15.703962207,8
15.708140024,5
15.712317842,11
15.716495659,8
15.720673476,9
15.724851293,7
15.729029111,7
15.733206928,8
15.737384745,5
15.741562562,8
15.74574038,8
15.749918197,11
15.754096014,5
15.758273831,4
15.762451649,11
15.766629466,7
15.770807283,7
15.7749851,9
15.779162917,2
15.783340735,5
15.787518552,10
15.791696369,8
15.795874186,9
15.800052004,9
15.804229821,9
15.808407638,5
15.812585455,7
15.816763273,2
15.82094109,5
15.825118907,5
15.829296724,9
15.833474542,3
15.837652359,9
15.841830176,13
15.846007993,9
15.850185811,9
15.854363628,4
15.858541445,9
15.862719262,14
15.86689708,9
15.871074897,7
15.875252714,9
15.879430531,5
15.883608349,5
15.887786166,7
15.891963983,9
15.8961418,9
15.900319618,9
15.904497435,3
15.908675252,7
15.912853069,9
15.917030887,9
15.921208704,9
15.925386521,4
15.929564338,7
15.933742156,9
15.937919973,8
15.94209779,9
15.946275607,5
15.950453425,2
15.954631242,13
15.958809059,8
15.962986876,3
15.967164693,7
15.971342511,5
15.975520328,5
15.979698145,7
15.983875962,2
15.98805378,14
15.992231597,9
15.996409414,9
16.000587231,11
16.004765049,7
16.008942866,5
16.013120683,9
16.0172985,3
16.021476318,2
16.025654135,8
16.029831952,11
16.034009769,3
16.038187587,10
16.042365404,5
16.046543221,7
16.050721038,10
16.054898856,5
16.059076673,7
16.06325449,9
16.067432307,10
16.071610125,3
16.075787942,1
16.079965759,8
16.084143576,10
16.088321394,7
16.092499211,5
16.096677028,10
16.100854845,5
16.105032663,9
16.10921048,7
16.113388297,8
16.117566114,11
16.121743932,10
16.125921749,7
16.130099566,10
16.134277383,9
16.138455201,9
16.142633018,10
16.146810835,5
16.150988652,10
16.155166469,5
16.159344287,7
16.163522104,4
16.167699921,8
16.171877738,2
16.176055556,3
16.180233373,9
16.18441119,9
16.188589007,10
16.192766825,8
16.196944642,4
16.201122459,7
16.205300276,2
16.209478094,13
16.213655911,7
16.217833728,10
16.222011545,9
16.226189363,4
16.23036718,3
16.234544997,1
16.238722814,5
16.242900632,10
16.247078449,2
16.251256266,5
16.255434083,3
16.259611901,4
16.263789718,7
16.267967535,7
16.272145352,10
16.27632317,2
16.280500987,15
16.284678804,14
16.288856621,14
16.293034439,9
16.297212256,4
16.301390073,7
16.30556789,3
16.309745708,11
16.313923525,4
16.318101342,11
16.322279159,7
16.326456977,11
16.330634794,7
16.334812611,8
16.338990428,2
16.343168246,13
16.347346063,8
16.35152388,10
16.355701697,8
16.359879514,4
16.364057332,5
16.368235149,7
16.372412966,11
16.376590783,7
16.380768601,8
16.384946418,5
16.389124235,9
16.393302052,9
16.39747987,15
16.401657687,15
16.405835504,4
16.410013321,5
16.414191139,5
16.418368956,3
16.422546773,4
16.42672459,4
16.430902408,4
16.435080225,7
16.439258042,5
16.443435859,9
16.447613677,4
16.451791494,7
16.455969311,8
16.460147128,3
16.464324946,4
16.468502763,7
16.47268058,8
16.476858397,10
16.481036215,8
16.485214032,10
16.489391849,2
16.493569666,4
16.497747484,7
16.501925301,5
16.506103118,4
16.510280935,10
16.514458753,8
16.51863657,8
16.522814387,8
16.526992204,5
16.531170022,8
16.535347839,5
16.539525656,7
16.543703473,4
16.54788129,3
16.552059108,5
16.556236925,10
16.560414742,8
16.564592559,7
16.568770377,5
16.572948194,10
16.577126011,1
16.581303828,1
16.585481646,8
16.589659463,7
16.59383728,10
16.598015097,8
16.602192915,5
16.606370732,14
16.610548549,7
16.614726366,11
16.618904184,2
16.623082001,8
16.627259818,8
16.631437635,5
