Angle,Intensity,,,,,,,,,,,,,,,,,
15.00208891,15,,,,,,,,,,,,,,,,,
15.006266727,11,,,,,,,,,,,,,,,,,
15.010444544,9,,,,,,,,,,,,,,,,,
15.014622362,9,,,,,,,,,,,,,,,,,
15.018800179,7,,,,,,,,,,,,,,,,,
15.022977996,14,,,,,,,,,,,,,,,,,
15.027155813,8,,,,,,,,,,,,,,,,,
15.031333631,10,,,,,,,,,,,,,,,,,
15.035511448,8,,,,,,,,,,,,,,,,,
15.039689265,3,,,,,,,,,,,,,,,,,
15.043867082,4,,,,,,,,,,,,,,,,,
15.0480449,9,,,,,,,,,,,,,,,,,
15.052222717,5,,,,,,,,,,,,,,,,,
15.056400534,10,,,,,,,,,,,,,,,,,
15.060578351,5,,,,,,,,,,,,,,,,,
15.064756169,7,,,,,,,,,,,,,,,,,
15.068933986,9,,,,,,,,,,,,,,,,,
15.073111803,8,,,,,,,,,,,,,,,,,
15.07728962,3,,,,,,,,,,,,,,,,,
15.081467438,11,,,,,,,,,,,,,,,,,
15.085645255,5,,,,,,,,,,,,,,,,,
15.089823072,3,,,,,,,,,,,,,,,,,
15.094000889,9,,,,,,,,,,,,,,,,,
15.098178707,11,,,,,,,,,,,,,,,,,
15.102356524,7,,,,,,,,,,,,,,,,,
15.106534341,7,,,,,,,,,,,,,,,,,
15.110712158,9,,,,,,,,,,,,,,,,,
15.114889976,3,,,,,,,,,,,,,,,,,
15.119067793,5,,,,,,,,,,,,,,,,,
15.12324561,3,,,,,,,,,,,,,,,,, 
15.127423427,9,,,,,,,,,,,,,,,,,
15.131601245,14,,,,,,,,,,,,,,,,,
15.135779062,7,,,,,,,,,,,,,,,,,
15.139956879,9,,,,,,,,,,,,,,,,,
15.144134696,9,,,,,,,,,,,,,,,,,
15.148312514,20,,,,,,,,,,,,,,,,,
15.152490331,9,,,,,,,,,,,,,,,,,
15.156668148,18,,,,,,,,,,,,,,,,,
15.160845965,14,,,,,,,,,,,,,,,,,
15.165023783,9,,,,,,,,,,,,,,,,,
15.1692016,9,,,,,,,,,,,,,,,,,
15.173379417,10,,,,,,,,,,,,,,,,,
15.177557234,9,,,,,,,,,,,,,,,,,
15.181735052,10,,,,,,,,,,,,,,,,,
15.185912869,11,,,,,,,,,,,,,,,,,
15.190090686,7,,,,,,,,,,,,,,,,,
15.194268503,13,,,,,,,,,,,,,,,,,
15.19844632,8,,,,,,,,,,,,,,,,,
15.202624138,7,,,,,,,,,,,,,,,,,
15.206801955,8,,,,,,,,,,,,,,,,,
15.210979772,9,,,,,,,,,,,,,,,,,
15.215157589,2,,,,,,,,,,,,,,,,,
15.219335407,14,,,,,,,,,,,,,,,,,
15.223513224,14,,,,,,,,,,,,,,,,,
15.227691041,9,,,,,,,,,,,,,,,,,
15.231868858,8,,,,,,,,,,,,,,,,,
15.236046676,7,,,,,,,,,,,,,,,,,
15.240224493,7,,,,,,,,,,,,,,,,,
15.24440231,11,,,, ,,,,,,,,,,,, ,
15.248580127,4,,,,,,,,,,,,,,,,,
15.252757945,7,,,,,,,,,,,,,,,,,
15.256935762,14,,,,,,,,,,,,,,,,,
15.261113579,7,,,,,,,,,,,,,,,,,
15.265291396,9,,,,,,,,,,,,,,,,,
15.269469214,13,,,,,,,,,,,,,,,,,
15.273647031,13,,,,,,,,,,,,,,,,,
15.277824848,8,,,,,,,,,,,,,,,,,
15.282002665,10,,,,,,,,,,,,,,,,,
15.286180483,10,,,,,,,,,,,,,,,,,
15.2903583,10,,,,,,,,,,,,,,,,,
15.294536117,4,,,,,,,,,,,,,,,,,
15.298713934,9,,,,,,,,,,,,,,,,,
15.302891752,10,,,,,,,,,,,,,,,,,
15.307069569,10,,,,,,,,,,,,,,,,,
15.311247386,8,,,,,,,,,,,,,,,,,
15.315425203,8,,,,,,,,,,,,,,,,,
15.319603021,8,,,,,,,,,,,,,,,,,
15.323780838,5,,,,,,,,,,,,,,,,,
15.327958655,13,,,,,,,,,,,,,,,,,
15.332136472,9,,,,,,,,,,,,,,,,,
15.33631429,9,,,,,,,,,,,,,,,,,
15.340492107,10,,,,,,,,,,,,,,,,,
15.344669924,7,,,,,,,,,,,,,,,,,
